zone_name,city,latitude,longitude,date,hour,day_of_week,demand_score,avg_earnings_per_hour,active_workers,surge_multiplier
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,8,3,104.3,187.22,67,1.38
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,12,3,32.0,176.03,19,2.1
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,14,3,133.4,86.8,7,1.62
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,18,3,63.1,196.3,77,1.49
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,20,3,107.6,253.75,38,2.03
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-01,22,3,86.8,295.8,67,1.19
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,8,4,98.1,228.55,36,2.37
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,12,4,87.6,196.26,23,2.11
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,14,4,144.0,236.89,49,2.07
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,18,4,27.9,95.86,29,2.16
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,20,4,128.4,96.59,67,1.02
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-02,22,4,68.6,111.99,63,2.15
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,8,5,42.0,217.91,93,1.78
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,12,5,122.9,204.99,63,1.55
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,14,5,179.2,246.93,67,1.44
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,18,5,118.5,80.83,86,1.78
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,20,5,100.9,168.45,80,2.36
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-03,22,5,112.0,139.5,17,1.0
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,8,6,4.2,143.39,12,1.5
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,12,6,111.1,293.78,47,1.95
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,14,6,94.5,94.61,81,1.73
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,18,6,26.2,262.74,83,1.74
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,20,6,205.5,179.02,16,1.75
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-04,22,6,81.6,186.74,44,1.16
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,8,0,90.6,239.08,68,1.2
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,12,0,141.1,210.82,35,2.28
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,14,0,139.3,203.35,38,2.21
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,18,0,49.5,248.12,100,2.06
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,20,0,123.0,118.42,95,1.51
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-05,22,0,102.7,116.43,49,1.1
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,8,1,28.1,146.02,43,1.86
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,12,1,174.7,233.56,62,1.91
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,14,1,128.6,146.73,41,1.58
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,18,1,36.2,129.57,6,1.1
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,20,1,154.7,193.49,53,2.22
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-06,22,1,88.6,270.78,44,1.23
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,8,2,75.9,242.79,42,2.17
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,12,2,172.5,296.25,15,1.41
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,14,2,29.5,89.38,57,1.59
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,18,2,21.7,169.03,62,2.39
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,20,2,139.4,270.23,13,2.13
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-07,22,2,29.7,218.25,76,1.61
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-08,8,3,50.9,186.78,64,1.5
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-08,12,3,163.1,83.4,8,1.72
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-08,14,3,94.1,116.52,27,1.78
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-08,18,3,6.0,160.01,96,1.2
Mumbai_Z000,Mumbai,19.0126,72.865,2026-01-08,20,3,154.5,261.94,11,1.23
